utctimestamp,01FI1101E/PV.CV,01FI1103/AI1/PV.CV,01AI1923/AI1/PV.CV,60PI0496/AI1/PV.CV,01TI1538/AI1/PV.CV,01HC1955/PID1/PV.CV
2017-01-08 00:00:00+00:00,479.9760535,32.09022838,98.01740976,1027.752523,5.468459263,5664.144735
2017-01-08 01:00:00+00:00,501.3202035,43.28517981,98.37840798,1027.69632,5.28312842,5655.433826
2017-01-08 02:00:00+00:00,513.6560271,27.48952408,98.73940621,1027.658936,5.406823687,5647.324211
2017-01-08 03:00:00+00:00,492.8549556,41.94316581,99.10040444,1027.658936,5.550321002,5672.176372
2017-01-08 04:00:00+00:00,486.5003859,45.07937992,99.46140267,1027.715139,5.692758666,5667.43606
2017-01-08 05:00:00+00:00,495.1366018,37.1185668,99.79492964,1027.877594,5.771179979,5649.609398
2017-01-08 06:00:00+00:00,503.6276291,44.05472829,99.86333266,1028.154134,5.798226724,5644.991906
2017-01-08 07:00:00+00:00,502.6672115,39.30339804,99.86515406,1028.583771,5.759354668,5672.046562
2017-01-08 08:00:00+00:00,501.8139708,23.08481293,99.86697546,1028.839457,5.617636517,5662.930019
2017-01-08 09:00:00+00:00,496.2459481,30.36896667,99.86879687,1028.972768,5.679675431,5670.220859
2017-01-08 10:00:00+00:00,512.9401687,53.99021703,99.87061827,1029.27357,6.02618807,5664.30953
2017-01-08 11:00:00+00:00,495.0899662,61.32985381,99.87243967,1029.173828,6.847717547,5655.751066
2017-01-08 12:00:00+00:00,507.4668032,63.15880008,99.87426107,1028.810669,7.703546222,5652.951596
2017-01-08 13:00:00+00:00,476.4399701,52.57091682,99.87559307,1028.582957,7.97994155,5648.836408
2017-01-08 14:00:00+00:00,505.1462541,31.5875181,99.8744262,1028.830811,7.728491646,5653.523841
2017-01-08 15:00:00+00:00,480.4893745,39.13535513,99.87290815,1028.796987,7.527188032,5660.332366
2017-01-08 16:00:00+00:00,495.6129429,41.35917896,99.8713901,1028.714081,7.339064892,5669.760706
2017-01-08 17:00:00+00:00,484.8673727,57.12799721,99.86987205,1028.735952,7.001356259,5640.185076
2017-01-08 18:00:00+00:00,507.1490306,35.93076963,99.868354,1028.663269,6.777015127,5662.527522
2017-01-08 19:00:00+00:00,514.9026368,56.59909209,99.86683595,1028.503255,6.209207646,5668.209396
2017-01-08 20:00:00+00:00,484.2035141,45.98054715,99.8653179,1028.461141,6.360780338,5662.306951
2017-01-08 21:00:00+00:00,504.0391886,47.93188941,99.86416239,1028.152405,6.56103815,5656.350327
2017-01-08 22:00:00+00:00,502.410407,44.97551533,99.86408997,1028.017314,6.746660464,5651.444355
2017-01-08 23:00:00+00:00,482.2455419,49.15767612,99.86408997,1027.378301,6.824413615,5640.974125
